FPR,TPR,Thresholds,Model
0.0,0.7546296296296297,0.7993136644363403,XGBoost
0.0,0.7668518518518519,0.7778359055519104,XGBoost
0.0,0.7777777777777778,0.7774945497512817,XGBoost
0.0,0.7870370370370371,0.7736024856567383,XGBoost
0.0,0.7975925925925926,0.7641958594322205,XGBoost
0.0,0.8077777777777778,0.7598402500152588,XGBoost
0.0,0.8201851851851852,0.7571093440055847,XGBoost
0.0,0.8283333333333334,0.7544088959693909,XGBoost
0.0,0.8398148148148148,0.7456772923469543,XGBoost
0.0,0.850925925925926,0.7360097765922546,XGBoost
0.0,0.8631481481481481,0.7244372963905334,XGBoost
0.0,0.8738888888888889,0.7219404578208923,XGBoost
0.0,0.8874074074074074,0.7054237127304077,XGBoost
0.0,0.8975925925925926,0.6940250396728516,XGBoost
0.0,0.9088888888888889,0.6692647933959961,XGBoost
0.0,0.9192592592592592,0.653630256652832,XGBoost
0.0,0.9301851851851852,0.652877926826477,XGBoost
0.002361111111111111,0.9503703703703704,0.6391437649726868,XGBoost
0.007175925925925926,0.9712962962962963,0.44993993639945984,XGBoost
0.015231481481481481,0.9792592592592593,0.24113768339157104,XGBoost
0.017777777777777778,0.9792592592592593,0.23867376148700714,XGBoost
0.021157407407407406,0.9792592592592593,0.2134186178445816,XGBoost
0.026203703703703705,0.9887037037037038,0.19520127773284912,XGBoost
0.03342592592592593,1.0,0.17872092127799988,XGBoost
0.03601851851851852,1.0,0.17696018517017365,XGBoost
0.03875,1.0,0.17675651609897614,XGBoost
0.041805555555555554,1.0,0.16395103931427002,XGBoost
0.04462962962962963,1.0,0.16241538524627686,XGBoost
0.04717592592592593,1.0,0.15703029930591583,XGBoost
0.04990740740740741,1.0,0.14727364480495453,XGBoost
0.05236111111111111,1.0,0.143816277384758,XGBoost
0.05476851851851852,1.0,0.14147710800170898,XGBoost
0.05787037037037037,1.0,0.1335524618625641,XGBoost
0.060833333333333336,1.0,0.13167890906333923,XGBoost
0.06393518518518519,1.0,0.12663374841213226,XGBoost
0.06680555555555556,1.0,0.12104726582765579,XGBoost
0.06944444444444445,1.0,0.12029938399791718,XGBoost
0.07148148148148148,1.0,0.12006384879350662,XGBoost
0.07453703703703704,1.0,0.11723846942186356,XGBoost
0.07726851851851851,1.0,0.11626122146844864,XGBoost
0.07958333333333334,1.0,0.11480716615915298,XGBoost
0.08273148148148148,1.0,0.11413942277431488,XGBoost
0.08550925925925926,1.0,0.11229518800973892,XGBoost
0.08810185185185185,1.0,0.1054840013384819,XGBoost
0.09027777777777778,1.0,0.10279315710067749,XGBoost
0.0925462962962963,1.0,0.10107840597629547,XGBoost
0.1025925925925926,1.0,0.09189467877149582,XGBoost
0.10541666666666667,1.0,0.087556853890419,XGBoost
0.10875,1.0,0.08578407764434814,XGBoost
0.11148148148148149,1.0,0.08204802870750427,XGBoost
0.11416666666666667,1.0,0.0802135318517685,XGBoost
0.1175925925925926,1.0,0.0799211636185646,XGBoost
0.12055555555555555,1.0,0.07777515798807144,XGBoost
0.12324074074074073,1.0,0.07578073441982269,XGBoost
0.12606481481481482,1.0,0.07340070605278015,XGBoost
